,Time,Amplitude
0,0.0,(0.07195219993806468+0j)
1,1e-05,(0.1488566658077678+0j)
2,2e-05,(0.23410951711459882+0j)
3,3.0000000000000004e-05,(0.32612229079137145+0j)
4,4e-05,(0.4232860394240854+0j)
5,5e-05,(0.5239948857254813+0j)
6,6.000000000000001e-05,(0.6266684299858319+0j)
7,7.000000000000001e-05,(0.7297727495897315+0j)
8,8e-05,(0.8318397616871868+0j)
9,9e-05,(0.931484753821767+0j)
10,0.0001,(1.0274219221940968+0j)
11,0.00011,(1.1184777927314402+0j)
12,0.00012000000000000002,(1.2036024357161357+0j)
13,0.00013000000000000002,(1.2818784198933943+0j)
14,0.00014000000000000001,(1.3525274862579577+0j)
15,0.00015000000000000001,(1.4149149546696391+0j)
16,0.00016,(1.4685519076693676+0j)
17,0.00017,(1.5130952250026009+0j)
18,0.00018,(1.5483455690944963+0j)
19,0.00019,(1.5742434457979504+0j)
20,0.0002,(1.5908634859380928+0j)
21,0.00021,(1.5984071113420433+0j)
22,0.00022,(1.5971937640579403+0j)
23,0.00023,(1.5876508892692+0j)
24,0.00024000000000000003,(1.570302870983538+0j)
25,0.00025,(1.5457591249523557+0j)
26,0.00026000000000000003,(1.5147015555290628+0j)
27,0.00027,(1.4778715824194506+0j)
28,0.00028000000000000003,(1.4360569396650058+0j)
29,0.00029,(1.3900784429156305+0j)
30,0.00030000000000000003,(1.340776912305123+0j)
31,0.00031,(1.2890004272789783+0j)
32,0.00032,(1.235592076797623+0j)
33,0.00033000000000000005,(1.181378353722617+0j)
34,0.00034,(1.127158326173058+0j)
35,0.00035000000000000005,(1.0736937015051724+0j)
36,0.00036,(1.0216998806127884+0j)
37,0.00037000000000000005,(0.971838081760545+0j)
38,0.00038,(0.9247085944299223+0j)
39,0.00039000000000000005,(0.8808452049549056+0j)
40,0.0004,(0.8407108173107505+0j)
41,0.00041000000000000005,(0.8046942745408114+0j)
42,0.00042,(0.773108369188783+0j)
43,0.00043000000000000004,(0.7461890149516737+0j)
44,0.00044,(0.7240955367639715+0j)
45,0.00045000000000000004,(0.7069120228227161+0j)
46,0.00046,(0.6946496697978395+0j)
47,0.00047000000000000004,(0.6872500417471487+0j)
48,0.00048000000000000007,(0.6845891541491367+0j)
49,0.0004900000000000001,(0.6864822870313887+0j)
50,0.0005,(0.6926894254338735+0j)
51,0.00051,(0.7029212214058795+0j)
52,0.0005200000000000001,(0.7168453693699575+0j)
53,0.0005300000000000001,(0.7340932859506881+0j)
54,0.00054,(0.7542669861943136+0j)
55,0.00055,(0.7769460504123893+0j)
56,0.0005600000000000001,(0.8016945795668472+0j)
57,0.0005700000000000001,(0.8280680420590274+0j)
58,0.00058,(0.8556199208626867+0j)
59,0.00059,(0.8839080770124232+0j)
60,0.0006000000000000001,(0.9125007533783799+0j)
61,0.0006100000000000001,(0.9409821512746437+0j)
62,0.00062,(0.968957521608684+0j)
63,0.00063,(0.9960577218284471+0j)
64,0.00064,(1.0219431997099222+0j)
65,0.0006500000000000001,(1.0463073749026761+0j)
66,0.0006600000000000001,(1.0688793989711067+0j)
67,0.00067,(1.0894262842997091+0j)
68,0.00068,(1.1077544015450853+0j)
69,0.0006900000000000001,(1.123710354199806+0j)
70,0.0007000000000000001,(1.1371812471790252+0j)
71,0.00071,(1.1480943740579534+0j)
72,0.00072,(1.1564163545979376+0j)
73,0.0007300000000000001,(1.162151760435765+0j)
74,0.0007400000000000001,(1.1653412722234906+0j)
75,0.00075,(1.166059416057209+0j)
76,0.00076,(1.164411930699243+0j)
77,0.0007700000000000001,(1.1605328198691591+0j)
78,0.0007800000000000001,(1.1545811457579243+0j)
79,0.00079,(1.146737620921778+0j)
80,0.0008,(1.137201055865034+0j)
81,0.0008100000000000001,(1.126184718961725+0j)
82,0.0008200000000000001,(1.1139126639420571+0j)
83,0.0008300000000000001,(1.1006160780369036+0j)
84,0.00084,(1.0865297010951789+0j)
85,0.0008500000000000001,(1.0718883626342017+0j)
86,0.0008600000000000001,(1.0569236799261819+0j)
87,0.0008700000000000001,(1.041860955942448+0j)
88,0.00088,(1.0269163113510147+0j)
89,0.0008900000000000001,(1.0122940798736524+0j)
90,0.0009000000000000001,(0.998184491236807+0j)
91,0.0009100000000000001,(0.9847616607762496+0j)
92,0.00092,(0.972181899555744+0j)
93,0.00093,(0.9605823537094575+0j)
94,0.0009400000000000001,(0.9500799766863647+0j)
95,0.0009500000000000001,(0.9407708332275541+0j)
96,0.0009600000000000001,(0.932729729303625+0j)
97,0.00097,(0.9260101579324487+0j)
98,0.0009800000000000002,(0.9206445468340566+0j)
99,0.00099,(0.9166447902988769+0j)
100,0.001,(0.9140030444802876+0j)
101,0.00101,(0.9126927625974952+0j)
102,0.00102,(0.9126699442676934+0j)
103,0.00103,(0.913874571387701+0j)
104,0.0010400000000000001,(0.9162322016581259+0j)
105,0.0010500000000000002,(0.9196556899840846+0j)
106,0.0010600000000000002,(0.9240470075857563+0j)
107,0.00107,(0.92929912869371+0j)
108,0.00108,(0.9352979551667+0j)
109,0.00109,(0.9419242502272354+0j)
110,0.0011,(0.9490555537321606+0j)
111,0.00111,(0.9565680529474834+0j)
112,0.0011200000000000001,(0.9643383846415055+0j)
113,0.0011300000000000001,(0.9722453464083114+0j)
114,0.0011400000000000002,(0.9801714974435288+0j)
115,0.0011500000000000002,(0.988004631473618+0j)
116,0.00116,(0.9956391071460214+0j)
117,0.00117,(1.0029770238777775+0j)
118,0.00118,(1.0099292338929262+0j)
119,0.00119,(1.0164161839138812+0j)
