,Frequency,Phase
571,285.6,-0.009525107490997681
572,286.1,-0.009541801038814954
573,286.6,-0.009558494680833588
574,287.1,-0.009575188417218772
575,287.6,-0.009591882248135694
576,288.1,-0.009608576173749557
577,288.6,-0.00962527019422555
578,289.1,-0.009641964309728883
579,289.6,-0.009658658520424745
580,290.1,-0.009675352826478353
581,290.6,-0.00969204722805492
582,291.1,-0.00970874172531965
583,291.6,-0.009725436318437756
584,292.1,-0.009742131007574463
585,292.6,-0.009758825792894991
586,293.1,-0.009775520674564563
587,293.6,-0.009792215652748407
588,294.1,-0.009808910727611751
589,294.6,-0.009825605899319833
590,295.1,-0.009842301168037883
591,295.6,-0.009858996533931148
592,296.1,-0.009875691997164862
593,296.6,-0.00989238755790427
594,297.1,-0.009909083216314632
595,297.6,-0.009925778972561184
596,298.1,-0.009942474826809194
597,298.6,-0.009959170779223911
598,299.1,-0.009975866829970596
599,299.6,-0.009992562979214515
600,300.1,-0.010009259227120934
601,300.6,-0.010025955573855124
602,301.1,-0.010042652019582354
603,301.6,-0.0100593485644679
604,302.1,-0.010076045208677045
605,302.6,-0.010092741952375068
606,303.1,-0.010109438795727255
607,303.6,-0.010126135738898895
608,304.1,-0.010142832782055276
609,304.6,-0.010159529925361694
610,305.1,-0.010176227168983445
611,305.6,-0.010192924513085833
612,306.1,-0.01020962195783416
613,306.6,-0.010226319503393732
614,307.1,-0.01024301714992986
615,307.6,-0.010259714897607857
616,308.1,-0.01027641274659304
617,308.6,-0.010293110697050724
618,309.1,-0.010309808749146233
619,309.6,-0.010326506903044898
620,310.1,-0.010343205158912043
621,310.6,-0.010359903516913006
622,311.1,-0.010376601977213108
623,311.6,-0.010393300539977704
624,312.1,-0.010409999205372123
625,312.6,-0.010426697973561718
626,313.1,-0.010443396844711834
627,313.6,-0.010460095818987821
628,314.1,-0.010476794896555031
629,314.6,-0.010493494077578826
630,315.1,-0.010510193362224567
631,315.6,-0.010526892750657615
632,316.1,-0.010543592243043338
633,316.6,-0.010560291839547108
634,317.1,-0.010576991540334296
635,317.6,-0.010593691345570278
636,318.1,-0.010610391255420444
637,318.6,-0.010627091270050163
638,319.1,-0.010643791389624825
639,319.6,-0.010660491614309828
640,320.1,-0.01067719194427056
641,320.6,-0.01069389237967242
642,321.1,-0.010710592920680804
643,321.6,-0.010727293567461112
644,322.1,-0.010743994320178757
645,322.6,-0.010760695178999148
646,323.1,-0.010777396144087693
647,323.6,-0.010794097215609814
648,324.1,-0.010810798393730923
649,324.6,-0.01082749967861645
650,325.1,-0.010844201070431818
651,325.6,-0.010860902569342457
652,326.1,-0.010877604175513795
653,326.6,-0.010894305889111278
654,327.1,-0.010911007710300338
655,327.6,-0.010927709639246419
656,328.1,-0.01094441167611497
657,328.6,-0.010961113821071431
658,329.1,-0.010977816074281267
659,329.6,-0.010994518435909926
660,330.1,-0.011011220906122872
661,330.6,-0.011027923485085567
662,331.1,-0.011044626172963475
663,331.6,-0.011061328969922067
664,332.1,-0.011078031876126819
665,332.6,-0.011094734891743199
666,333.1,-0.011111438016936698
667,333.6,-0.011128141251872793
668,334.1,-0.011144844596716968
669,334.6,-0.011161548051634716
670,335.1,-0.011178251616791531
671,335.6,-0.011194955292352912
672,336.1,-0.011211659078484358
673,336.6,-0.011228362975351368
674,337.1,-0.011245066983119454
675,337.6,-0.011261771101954124
676,338.1,-0.0112784753320209
677,338.6,-0.011295179673485289
678,339.1,-0.011311884126512815
679,339.6,-0.011328588691269004
680,340.1,-0.011345293367919384
681,340.6,-0.011361998156629487
682,341.1,-0.011378703057564847
683,341.6,-0.011395408070891002
684,342.1,-0.011412113196773493
685,342.6,-0.011428818435377868
686,343.1,-0.011445523786869674
687,343.6,-0.011462229251414466
688,344.1,-0.011478934829177796
689,344.6,-0.011495640520325227
690,345.1,-0.011512346325022318
691,345.6,-0.011529052243434642
692,346.1,-0.011545758275727756
693,346.6,-0.01156246442206725
694,347.1,-0.011579170682618692
695,347.6,-0.011595877057547659
696,348.1,-0.011612583547019745
697,348.6,-0.011629290151200533
698,349.1,-0.01164599687025561
699,349.6,-0.01166270370435058
700,350.1,-0.011679410653651032
701,350.6,-0.011696117718322577
702,351.1,-0.011712824898530816
703,351.6,-0.011729532194441358
704,352.1,-0.011746239606219813
705,352.6,-0.0117629471340318
706,353.1,-0.011779654778042947
707,353.6,-0.011796362538418865
708,354.1,-0.011813070415325188
709,354.6,-0.011829778408927545
710,355.1,-0.01184648651939157
711,355.6,-0.011863194746882903
712,356.1,-0.011879903091567187
713,356.6,-0.01189661155361006
714,357.1,-0.011913320133177183
715,357.6,-0.011930028830434194
716,358.1,-0.011946737645546764
717,358.6,-0.011963446578680544
718,359.1,-0.011980155630001198
719,359.6,-0.011996864799674397
720,360.1,-0.012013574087865811
721,360.6,-0.012030283494741117
722,361.1,-0.012046993020465987
723,361.6,-0.012063702665206106
724,362.1,-0.012080412429127161
725,362.6,-0.012097122312394841
726,363.1,-0.012113832315174843
727,363.6,-0.012130542437632853
728,364.1,-0.012147252679934585
729,364.6,-0.012163963042245735
730,365.1,-0.01218067352473201
731,365.6,-0.01219738412755913
732,366.1,-0.012214094850892804
733,366.6,-0.012230805694898752
734,367.1,-0.0122475166597427
735,367.6,-0.012264227745590368
736,368.1,-0.012280938952607498
737,368.6,-0.012297650280959815
738,369.1,-0.01231436173081306
739,369.6,-0.012331073302332974
740,370.1,-0.012347784995685306
741,370.6,-0.012364496811035802
742,371.1,-0.012381208748550216
743,371.6,-0.012397920808394304
744,372.1,-0.012414632990733832
745,372.6,-0.012431345295734555
746,373.1,-0.012448057723562254
747,373.6,-0.01246477027438269
748,374.1,-0.012481482948361646
749,374.6,-0.012498195745664896
750,375.1,-0.01251490866645823
751,375.6,-0.012531621710907439
752,376.1,-0.012548334879178301
753,376.6,-0.012565048171436622
754,377.1,-0.0125817615878482
755,377.6,-0.012598475128578831
756,378.1,-0.012615188793794333
757,378.6,-0.012631902583660506
758,379.1,-0.012648616498343168
759,379.6,-0.012665330538008147
760,380.1,-0.012682044702821253
761,380.6,-0.012698758992948315
762,381.1,-0.012715473408555165
763,381.6,-0.01273218794980764
764,382.1,-0.012748902616871574
765,382.6,-0.012765617409912808
766,383.1,-0.012782332329097194
767,383.6,-0.012799047374590575
768,384.1,-0.012815762546558808
769,384.6,-0.012832477845167743
770,385.1,-0.012849193270583256
771,385.6,-0.012865908822971204
772,386.1,-0.012882624502497456
773,386.6,-0.012899340309327887
774,387.1,-0.012916056243628375
775,387.6,-0.0129327723055648
776,388.1,-0.012949488495303044
777,388.6,-0.012966204813009006
778,389.1,-0.012982921258848566
779,389.6,-0.01299963783298763
780,390.1,-0.013016354535592101
781,390.6,-0.013033071366827879
782,391.1,-0.013049788326860875
783,391.6,-0.013066505415857002
784,392.1,-0.013083222633982178
785,392.6,-0.013099939981402322
786,393.1,-0.013116657458283365
787,393.6,-0.013133375064791229
788,394.1,-0.013150092801091848
789,394.6,-0.013166810667351161
790,395.1,-0.013183528663735112
791,395.6,-0.013200246790409648
792,396.1,-0.013216965047540712
793,396.6,-0.01323368343529426
794,397.1,-0.013250401953836246
795,397.6,-0.013267120603332643
796,398.1,-0.013283839383949407
797,398.6,-0.01330055829585251
798,399.1,-0.013317277339207925
799,399.6,-0.01333399651418163
800,400.1,-0.01335071582093961
801,400.6,-0.01336743525964785
802,401.1,-0.01338415483047234
803,401.6,-0.01340087453357907
804,402.1,-0.013417594369134048
805,402.6,-0.013434314337303266
806,403.1,-0.013451034438252742
807,403.6,-0.013467754672148476
808,404.1,-0.013484475039156488
809,404.6,-0.013501195539442798
810,405.1,-0.013517916173173427
811,405.6,-0.013534636940514409
812,406.1,-0.01355135784163176
813,406.6,-0.013568078876691533
814,407.1,-0.013584800045859758
815,407.6,-0.013601521349302483
816,408.1,-0.013618242787185758
817,408.6,-0.013634964359675627
818,409.1,-0.013651686066938154
819,409.6,-0.013668407909139401
820,410.1,-0.01368512988644543
821,410.6,-0.013701851999022307
822,411.1,-0.01371857424703611
823,411.6,-0.013735296630652915
824,412.1,-0.013752019150038807
825,412.6,-0.013768741805359863
826,413.1,-0.013785464596782187
827,413.6,-0.013802187524471862
828,414.1,-0.013818910588594992
829,414.6,-0.013835633789317679
830,415.1,-0.013852357126806028
831,415.6,-0.013869080601226156
832,416.1,-0.013885804212744176
833,416.6,-0.013902527961526204
834,417.1,-0.013919251847738368
835,417.6,-0.0139359758715468
836,418.1,-0.013952700033117625
837,418.6,-0.013969424332616989
838,419.1,-0.013986148770211027
839,419.6,-0.014002873346065885
840,420.1,-0.01401959806034772
841,420.6,-0.014036322913222675
842,421.1,-0.01405304790485692
843,421.6,-0.014069773035416608
844,422.1,-0.014086498305067911
845,422.6,-0.014103223713977002
846,423.1,-0.014119949262310059
847,423.6,-0.014136674950233255
848,424.1,-0.014153400777912778
849,424.6,-0.01417012674551482
850,425.1,-0.014186852853205568
851,425.6,-0.01420357910115123
852,426.1,-0.014220305489517998
853,426.6,-0.014237032018472087
854,427.1,-0.014253758688179694
855,427.6,-0.014270485498807045
856,428.1,-0.014287212450520363
857,428.6,-0.014303939543485862
